Movie,Month,Day,Year,Budget,Domestic_Gross,Worldwide_Gross
3 Men and a Baby,Nov,25,1987,15,167.78096,167.78096
The Offspring,Sep,4,1987,1.1,1.355728,1.355728
Fatal Attraction,Sep,18,1987,14,156.645693,320.1
Hellraiser,Sep,18,1987,1,14.564,14.575148
The Princess Bride,Sep,25,1987,15,30.857,30.858487
"Bright Lights, Big City",Apr,1,1988,25,16.118077,16.118077
Lady in White,Apr,22,1988,4.7,1.705139,1.705139
Young Guns,Aug,12,1988,13,44.726644,44.726644
The Last Temptation of Christ,Aug,12,1988,7,8.373585,8.373585
A Nightmare on Elm Street 4: The Dream Master,Aug,19,1988,13,49.369899,49.369899
Talk Radio,Dec,1,1988,4,3.468572,3.468572
Twins,Dec,9,1988,15,111.936388,216.6
My Stepmother Is an Alien,Dec,9,1988,16,13.854,13.854
Rain Man,Dec,16,1988,25,172.825435,412.8
Dangerous Liaisons,Dec,21,1988,14,34.7,34.7
Action Jackson,Feb,12,1988,7,20.257,20.257
School Daze,Feb,12,1988,6,14.545844,14.545844
Bloodsport,Feb,26,1988,1.5,11.806119,11.806119
Return of the Living Dead Part II,Jan,15,1988,6.2,9.205924,9.205924
Phantasm II,Jul,8,1988,3,7.282851,7.282851
Die Hard,Jul,15,1988,28,81.350242,139.109346
Midnight Run,Jul,20,1988,30,38.413606,81.613606
Big,Jun,3,1988,18,114.968774,151.668774
Poltergeist III,Jun,10,1988,9.5,14.114,14.114
Who Framed Roger Rabbit?,Jun,22,1988,70,154.112492,351.5
Prison,Mar,4,1988,4,0.354704,0.354704
Beetlejuice,Mar,30,1988,15,73.326666,73.326666
Friday the 13th Part VII: The New Blood,May,13,1988,2.8,19.170001,19.170001
Crocodile Dundee 2,May,25,1988,14,109.30621,239.60621
Rambo III,May,25,1988,58,53.715611,188.715611
Rambo III,May,25,1988,58,53.715611,188.715611
They Live,Nov,4,1988,4,13,13
Child's Play,Nov,9,1988,9,33.244684,44.196684
The Land Before Time,Nov,18,1988,12.3,48.092846,81.972846
Scrooged,Nov,23,1988,32,59.450353,59.450353
Halloween 4: The Return of Michael Myers,Oct,1,1988,5,17.768757,17.768757
Mystic Pizza,Oct,21,1988,6,12.793213,12.793213
Major League,Apr,7,1989,11,49.793054,49.793054
Pet Sematary,Apr,21,1989,11.5,57.469179,57.469179
"Sex, Lies, and Videotape",Aug,4,1989,1.2,24.741667,36.741667
The Abyss,Aug,9,1989,70,54.243125,54.243125
A Nightmare On Elm Street: The Dream Child,Aug,11,1989,6,22.168359,22.168359
Driving Miss Daisy,Dec,13,1989,7.5,106.593296,106.593296
Glory,Dec,13,1989,18,26.59358,26.59358
We're No Angels,Dec,15,1989,20,10.555348,10.555348
Born on the Fourth of July,Dec,20,1989,14,70.001698,70.001698
Roger & Me,Dec,20,1989,0.14,6.706368,6.706368
Tango & Cash,Dec,22,1989,55,63.408614,63.408614
Tango & Cash,Dec,22,1989,55,63.408614,63.408614
Out of the Dark,Dec,31,1989,1.6,0.419428,0.419428
Bill & Ted's Excellent Adventure,Feb,17,1989,10,40.485039,40.485039
Licence to Kill,Jul,14,1989,42,34.667015,156.167015
When Harry Met Sally…,Jul,14,1989,16,92.823546,92.96196
UHF,Jul,21,1989,5,6.157157,6.157157
Friday the 13th Part VIII: Jason Takes Manhattan,Jul,28,1989,5,14.343976,14.343976
Dead Poets Society,Jun,2,1989,16.4,95.860116,239.5
Star Trek V: The Final Frontier,Jun,9,1989,30,52.210049,70.2
Batman,Jun,23,1989,35,251.188924,411.348924
Do the Right Thing,Jun,30,1989,6,26.004026,26.004026
New York Stories,Mar,1,1989,15,10.763469,10.763469
Troop Beverly Hills,Mar,22,1989,18,7.190505,7.190505
Road House,May,19,1989,10,30.050028,30.050028
Indiana Jones and the Last Crusade,May,24,1989,48,197.171806,474.171806
Henry V,Nov,8,1989,9,10.161099,10.176701
Harlem Nights,Nov,17,1989,30,60.857262,95.857262
Back to the Future Part II,Nov,22,1989,40,118.450002,332
Halloween 5: The Revenge of Michael Myers,Oct,13,1989,6,11.642254,11.642254
Kickboxer,Sep,8,1989,1.5,14.533681,14.533681
Sea of Love,Sep,15,1989,19,58.571513,58.571513
Black Rain,Sep,22,1989,30,45.892212,45.892212
Spaced Invaders,Apr,27,1990,3,15,15
Mo' Better Blues,Aug,3,1990,10,16.153,16.153
Metropolitan,Aug,3,1990,0.43,2.938,2.938
Flatliners,Aug,10,1990,26,61.308153,61.308153
Edward Scissorhands,Dec,7,1990,20,53.976987,53.976987
Kindergarten Cop,Dec,21,1990,26,91.457688,202
The Godfather: Part III,Dec,25,1990,54,66.520529,66.520529
The Godfather: Part III,Dec,25,1990,54,66.520529,66.520529
The Blood of Heroes,Feb,23,1990,7.7,0.88229,0.88229
Tremors,Jan,19,1990,10,16.667084,16.667084
Die Hard 2,Jul,3,1990,70,117.323878,239.814025
The Adventures of Ford Fairlane,Jul,11,1990,49,20.423389,20.423389
Ghost,Jul,13,1990,22,217.631306,517.6
Arachnophobia,Jul,18,1990,31,53.20818,53.20818
Total Recall,Jun,1,1990,65,119.394839,261.4
Dick Tracy,Jun,15,1990,47,103.738726,162.738726
Days of Thunder,Jun,27,1990,60,82.670733,157.670733
The Hunt for Red October,Mar,2,1990,30,120.709866,200.5
Pretty Woman,Mar,23,1990,14,178.406268,432.645872
Teenage Mutant Ninja Turtles,Mar,30,1990,13.5,135.265915,202
Back to the Future Part III,May,24,1990,40,88.055283,244.088654
Dances with Wolves,Nov,9,1990,19,184.208842,424.2
Child's Play 2,Nov,9,1990,13,26.904572,34.166572
Home Alone,Nov,16,1990,15,285.761243,476.684675
Predator 2,Nov,21,1990,35,28.317513,54.768418
Quigley Down Under,Oct,19,1990,20,21.413105,21.413105
Night of the Living Dead,Oct,19,1990,4.2,5.835247,5.835247
Goodfellas,Sep,19,1990,25,46.743809,46.777347
Dark Angel,Sep,28,1990,7,4.372561,4.372561
Slacker,Aug,1,1991,0.023,1.227508,1.227508
Double Impact,Aug,9,1991,16,29.090445,29.090445
Harley Davidson and the Marlboro Man,Aug,23,1991,23,7.018525,7.018525
Beastmaster 2: Through the Portal of Time,Aug,30,1991,6,0.77349,0.77349
Star Trek VI: The Undiscovered Country,Dec,6,1991,27,74.888996,96.9
Hook,Dec,11,1991,70,119.654823,300.854823
JFK,Dec,20,1991,40,70.405498,205.4
The Prince of Tides,Dec,25,1991,30,74.787599,74.787599
Fried Green Tomatoes,Dec,27,1991,11,81.20483,81.20483
The Silence of the Lambs,Feb,14,1991,20,130.726716,275.726716
Straight out of Brooklyn,Jan,1,1991,0.45,2.712293,2.712293
Showdown in Little Tokyo,Jan,1,1991,8,2.275557,2.275557
Return to the Blue Lagoon,Jan,1,1991,11,2,2
Johnny Suede,Jan,1,1991,0.5,0.055,0.055
Warlock,Jan,10,1991,7,8.824553,8.824553
White Fang,Jan,18,1991,14,34.729091,34.729091
Flight of the Intruder,Jan,18,1991,35,14.47144,14.47144
The Last Waltz,Jul,1,1991,0.035,0.321952,0.321952
Terminator 2: Judgment Day,Jul,2,1991,100,203.464105,515.419827
Point Break,Jul,12,1991,24,43.218387,83.531958
Boyz n the Hood,Jul,12,1991,6.5,56.190094,56.200634
Bill & Ted's Bogus Journey,Jul,19,1991,20,37.537675,37.537675
The Naked Gun 2½: The Smell of Fear,Jun,28,1991,23,86.930411,86.930411
The Doors,Mar,1,1991,40,34.416893,34.416893
Haakon Haakonsen,Mar,1,1991,8.5,15.024232,15.024232
Nikita,Mar,8,1991,7,5.017971,5.017971
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Mar,22,1991,25,78.656813,78.656813
Stone Cold,May,17,1991,25,9.286314,9.286314
Hudson Hawk,May,24,1991,65,17.218916,17.218916
Beauty and the Beast,Nov,13,1991,20,218.951625,451.329842
Cape Fear,Nov,15,1991,35,79.091969,182.291969
The Addams Family,Nov,22,1991,30,113.502246,191.502246
My Girl,Nov,27,1991,16.5,58.011485,58.011485
House Party 2,Oct,23,1991,5,19.438638,19.438638
Due occhi diabolici,Oct,25,1991,9,0.349618,0.349618
Freddy’s Dead: The Final Nightmare,Sep,13,1991,5,34.872033,34.872033
The Fisher King,Sep,20,1991,24,41.798224,41.798224
My Own Private Idaho,Sep,29,1991,2.5,6.401336,6.401336
The Player,Apr,10,1992,8,21.706101,28.876702
A Midnight Clear,Apr,24,1992,5,1.526697,1.526697
Unforgiven,Aug,7,1992,14.4,101.157447,159.157447
Raising Cain,Aug,7,1992,11,21.171695,21.171695
A Few Good Men,Dec,11,1992,33,141.340178,236.5
The Muppet Christmas Carol,Dec,11,1992,12,27.281507,27.492918
Hoffa,Dec,25,1992,35,23.365858,28.391473
Medicine Man,Feb,7,1992,40,44.94824,44.94824
Wayne's World,Feb,14,1992,20,121.697323,183.097323
Radio Flyer,Feb,21,1992,35,4.651977,4.651977
Memoirs of an Invisible Man,Feb,28,1992,40,14.358033,14.358033
A League of Their Own,Jul,1,1992,40,107.533925,132.440066
Boomerang,Jul,1,1992,42,70.052444,131.052444
Death Becomes Her,Jul,31,1992,55,58.42265,149.02265
Death Becomes Her,Jul,31,1992,55,58.42265,149.02265
Buffy the Vampire Slayer,Jul,31,1992,7,14.231669,14.231669
Patriot Games,Jun,5,1992,45,83.287363,178.1
Batman Returns,Jun,18,1992,80,162.833635,266.824291
The Lawnmower Man,Mar,6,1992,10,32.100816,32.100816
My Cousin Vinny,Mar,13,1992,11,52.929168,52.929168
Howards End,Mar,13,1992,8,26.124872,26.317943
Split Second,May,1,1992,7,5.430822,5.430822
Lethal Weapon 3,May,15,1992,35,144.731527,319.7
Alien 3,May,22,1992,55,54.927174,158.5
Alien 3,May,22,1992,55,54.927174,158.5
Aladdin,Nov,11,1992,28,217.350219,504.050219
Bram Stoker's Dracula,Nov,13,1992,40,82.52279,215.862692
Malcolm X,Nov,18,1992,35,48.16991,48.16991
Home Alone 2: Lost in New York,Nov,20,1992,20,173.585516,358.99485
The Bodyguard,Nov,25,1992,25,121.94572,410.9
The Crying Game,Nov,25,1992,4,62.546695,62.546695
Hero,Oct,2,1992,42,19.487173,66.787173
The Mighty Ducks,Oct,2,1992,10,50.752337,50.752337
Reservoir Dogs,Oct,23,1992,1.2,2.832029,2.832029
Light Sleeper,Sep,21,1992,5,1.050861,1.050861
The Last of the Mohicans,Sep,25,1992,40,75.505856,75.505856
Glengarry Glen Ross,Sep,30,1992,12.5,10.725228,10.725228
The Adventures of Huck Finn,Apr,2,1993,6.5,24.103594,24.103594
Bound by Honor,Apr,16,1993,35,4.496583,4.496583
The Dark Half,Apr,23,1993,15,9.579068,9.579068
The Fugitive,Aug,6,1993,44,183.87576,353.715317
Jason Goes to Hell: The Final Friday,Aug,13,1993,3,15.935068,15.935068
Only the Strong,Aug,27,1993,6,3.273588,3.273588
Schindler's List,Dec,15,1993,25,96.067179,321.365567
The Pelican Brief,Dec,17,1993,45,100.768056,187.995859
Philadelphia,Dec,22,1993,26,77.324422,201.324422
Tombstone,Dec,25,1993,25,56.505065,56.505065
What's Eating Gilbert Grape,Dec,25,1993,11,9.170214,9.170214
Shadowlands,Dec,29,1993,22,25.842377,25.842377
Loaded Weapon 1,Feb,5,1993,13,27.979399,27.979399
Groundhog Day,Feb,12,1993,14.6,70.906973,70.906973
Dead Alive,Feb,12,1993,3,0.242623,0.242623
Army of Darkness,Feb,19,1993,11,11.502976,21.502976
El Mariachi,Feb,26,1993,0.007,2.04092,2.041928
Return of the Living Dead 3,Jan,1,1993,2,0.021,0.021
Ed and his Dead Mother,Jan,1,1993,1.8,0.000673,0.000673
Nowhere to Run,Jan,15,1993,15,22.189039,52.189039
Alive,Jan,15,1993,32,36.29967,36.29967
Free Willy,Jul,16,1993,20,77.698625,153.698625
