"Movie","Month","Day","Year","Budget","Domestic_Gross","Worldwide_Gross","profitable","season"
"The Broken Hearts Club: A Romantic Comedy","Sep",29,2000,1,1.744858,2.022442,TRUE,"rest"
"The Insider","Nov",5,1999,68,28.965197,60.265197,FALSE,"rest"
"Drunk Wedding","May",22,2015,0.6,0.003301,0.003301,FALSE,"rest"
"The Last Witch Hunter","Oct",23,2015,80,27.36766,131.234406,TRUE,"rest"
"Reno 911!: Miami","Feb",23,2007,10,20.342161,21.851362,TRUE,"rest"
"Heavy Metal","Aug",7,1981,9.3,19.571091,19.571091,TRUE,"summer"
"Split","Jan",20,2017,5,138.141585,278.449984,TRUE,"rest"
"The Hitman’s Bodyguard","Aug",18,2017,30,75.468583,172.779292,TRUE,"summer"
"The Greatest Showman","Dec",20,2017,84,166.185401,377.006196,TRUE,"rest"
"The Yards","Oct",20,2000,20,0.88271,2.28271,FALSE,"rest"
"A Dog's Breakfast","Dec",31,2007,0.12,0,0,FALSE,"rest"
"The Kids Are All Right","Jul",9,2010,4,20.811365,36.275469,TRUE,"summer"
"Steel Spirit","Dec",1,2003,0.02,0,0,FALSE,"rest"
"Idiocracy","Sep",1,2006,2.4,0.444093,0.500296,FALSE,"rest"
